wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,direction
200,400,200,400,1,0,0,0,0,0,0,0,0
192,400,208,400,1,0,0,0,0,0,0,0,0
184,400,216,400,1,0,0,0,0,0,0,0,0
176,400,224,400,1,0,0,0,0,0,0,0,0
168,400,232,400,1,0,0,0,0,0,0,0,0
160,400,240,400,1,0,0,0,0,0,0,0,0
152,400,248,400,1,0,0,0,0,0,0,0,0
144,400,256,400,1,0,0,0,0,0,0,0,0
136,400,264,400,1,0,0,0,0,0,0,0,0
128,400,272,400,1,0,0,0,0,0,0,0,0
120,400,280,400,1,0,0,0,0,0,0,0,0
112,400,288,400,1,0,0,0,0,0,0,0,0
104,400,296,400,1,0,0,0,0,0,0,0,0
96,400,304,400,1,0,0,0,0,0,0,0,0
88,400,312,400,1,0,0,0,0,0,0,0,0
80,400,320,400,1,0,0,0,0,0,0,0,0
72,400,328,400,1,0,0,0,0,0,0,0,0
64,400,336,400,1,0,0,0,0,0,0,0,0
56,400,344,400,1,0,0,0,0,0,0,0,0
48,400,352,400,1,0,0,0,0,0,0,0,0
40,400,360,400,0,0,0,0,0,0,0,0,2
48,400,352,400,0,0,0,0,1,0,0,0,2
56,400,344,400,0,0,0,0,1,0,0,0,2
64,400,336,400,0,0,0,0,1,0,0,0,2
72,400,328,400,0,0,0,0,1,0,0,0,2
80,400,320,400,0,0,0,0,1,0,0,0,2
88,400,312,400,0,0,0,0,1,0,0,0,2
96,400,304,400,0,0,0,0,1,0,0,0,2
104,400,296,400,0,0,0,0,1,0,0,0,2
112,400,288,400,0,0,0,0,1,0,0,0,2
120,400,280,400,0,0,0,0,1,0,0,0,2
128,400,272,400,0,0,0,0,1,0,0,0,2
136,400,264,400,0,0,0,0,1,0,0,0,2
144,400,256,400,0,0,0,0,1,0,0,0,2
152,400,248,400,0,0,0,0,1,0,0,0,2
160,400,240,400,0,0,0,0,1,0,0,0,2
168,400,232,400,0,0,0,0,1,0,0,0,2
176,400,224,400,0,0,0,0,1,0,0,0,2
184,400,216,400,0,0,0,0,1,0,0,0,2
192,400,208,400,0,1,0,0,1,0,0,0,1
192,392,208,408,0,1,0,0,0,0,0,1,1
192,384,208,416,0,1,0,0,0,0,0,1,1
192,376,208,424,0,1,0,0,0,0,0,1,1
192,368,208,432,0,1,0,0,0,0,0,1,1
192,360,208,440,0,1,0,0,0,0,0,1,1
192,352,208,448,0,1,0,0,0,0,0,1,1
192,344,208,456,0,1,0,0,0,0,0,1,1
192,336,208,464,0,0,0,0,0,0,0,1,0
184,336,216,464,0,0,0,0,0,0,1,0,0
176,336,224,464,0,0,0,0,0,0,1,0,0
